date,series_id,forecast,lower_bound,upper_bound
2016-05-23,HOBBIES_1_003_CA_1,0.0,0.0,3.0668544976926992
2016-05-24,HOBBIES_1_003_CA_1,0.02261324053630714,0.0,3.0894677382290063
2016-05-25,HOBBIES_1_003_CA_1,0.0017647466795393423,0.0,3.0686192443722384
2016-05-26,HOBBIES_1_003_CA_1,0.001348929215208638,0.0,3.0682034269079077
2016-05-27,HOBBIES_1_003_CA_1,0.18428917335555667,0.0,3.251143671048256
2016-05-28,HOBBIES_1_003_CA_1,0.765708342044216,0.0,3.8325628397369154
2016-05-29,HOBBIES_1_003_CA_1,0.8173638669533029,0.0,3.884218364646002
2016-05-30,HOBBIES_1_003_CA_1,0.014507946307869779,0.0,3.081362444000569
2016-05-31,HOBBIES_1_003_CA_1,0.014309034143142888,0.0,3.081163531835842
2016-06-01,HOBBIES_1_003_CA_1,0.014309034143142888,0.0,3.081163531835842
2016-06-02,HOBBIES_1_003_CA_1,0.014109432423267912,0.0,3.080963930115967
2016-06-03,HOBBIES_1_003_CA_1,0.4663429936901696,0.0,3.533197491382869
2016-06-04,HOBBIES_1_003_CA_1,0.6539482608415912,0.0,3.7208027585342904
2016-06-05,HOBBIES_1_003_CA_1,0.6666127320550029,0.0,3.7334672297477023
2016-06-06,HOBBIES_1_003_CA_1,0.036952033467827446,0.0,3.1038065311605267
2016-06-07,HOBBIES_1_003_CA_1,0.0366684752334693,0.0,3.1035229729261684
2016-06-08,HOBBIES_1_003_CA_1,0.0366684752334693,0.0,3.1035229729261684
2016-06-09,HOBBIES_1_003_CA_1,0.00799106521523525,0.0,3.0748455629079343
2016-06-10,HOBBIES_1_003_CA_1,0.3766286794432084,0.0,3.443483177135908
2016-06-11,HOBBIES_1_003_CA_1,0.5422282641928752,0.0,3.6090827618855745
2016-06-12,HOBBIES_1_003_CA_1,0.5422282641928752,0.0,3.6090827618855745
2016-06-13,HOBBIES_1_003_CA_1,0.0015427942920727955,0.0,3.068397291984772
2016-06-14,HOBBIES_1_003_CA_1,0.0014866250185662812,0.0,3.0683411227112654
2016-06-15,HOBBIES_1_003_CA_1,0.0014866250185662812,0.0,3.0683411227112654
2016-06-16,HOBBIES_1_003_CA_1,0.0014866250185662812,0.0,3.0683411227112654
2016-06-17,HOBBIES_1_003_CA_1,0.30812590026293674,0.0,3.374980397955636
2016-06-18,HOBBIES_1_003_CA_1,0.3149051877205759,0.0,3.381759685413275
2016-06-19,HOBBIES_1_003_CA_1,0.11035257802749586,0.0,3.177207075720195
