date,series_id,forecast,lower_bound,upper_bound
2016-05-23,HOBBIES_1_002_CA_1,0.0,0.0,3.0668544976926992
2016-05-24,HOBBIES_1_002_CA_1,0.0,0.0,3.0668544976926992
2016-05-25,HOBBIES_1_002_CA_1,0.0,0.0,3.0668544976926992
2016-05-26,HOBBIES_1_002_CA_1,0.0,0.0,3.0668544976926992
2016-05-27,HOBBIES_1_002_CA_1,0.0,0.0,3.0668544976926992
2016-05-28,HOBBIES_1_002_CA_1,0.0,0.0,3.0668544976926992
2016-05-29,HOBBIES_1_002_CA_1,0.0,0.0,3.0668544976926992
2016-05-30,HOBBIES_1_002_CA_1,0.0,0.0,3.0668544976926992
2016-05-31,HOBBIES_1_002_CA_1,0.0,0.0,3.0668544976926992
2016-06-01,HOBBIES_1_002_CA_1,0.0,0.0,3.0668544976926992
2016-06-02,HOBBIES_1_002_CA_1,0.0,0.0,3.0668544976926992
2016-06-03,HOBBIES_1_002_CA_1,0.0,0.0,3.0668544976926992
2016-06-04,HOBBIES_1_002_CA_1,0.0,0.0,3.0668544976926992
2016-06-05,HOBBIES_1_002_CA_1,0.0,0.0,3.0668544976926992
2016-06-06,HOBBIES_1_002_CA_1,0.0,0.0,3.0668544976926992
2016-06-07,HOBBIES_1_002_CA_1,0.0,0.0,3.0668544976926992
2016-06-08,HOBBIES_1_002_CA_1,0.0,0.0,3.0668544976926992
2016-06-09,HOBBIES_1_002_CA_1,0.0,0.0,3.0668544976926992
2016-06-10,HOBBIES_1_002_CA_1,0.0,0.0,3.0668544976926992
2016-06-11,HOBBIES_1_002_CA_1,0.0,0.0,3.0668544976926992
2016-06-12,HOBBIES_1_002_CA_1,0.0,0.0,3.0668544976926992
2016-06-13,HOBBIES_1_002_CA_1,0.0,0.0,3.0668544976926992
2016-06-14,HOBBIES_1_002_CA_1,0.0,0.0,3.0668544976926992
2016-06-15,HOBBIES_1_002_CA_1,0.0,0.0,3.0668544976926992
2016-06-16,HOBBIES_1_002_CA_1,0.0,0.0,3.0668544976926992
2016-06-17,HOBBIES_1_002_CA_1,0.0,0.0,3.0668544976926992
2016-06-18,HOBBIES_1_002_CA_1,0.0,0.0,3.0668544976926992
2016-06-19,HOBBIES_1_002_CA_1,0.0,0.0,3.0668544976926992
